date,description,amount,provider
25 Mar 24,Machi Machi Eastwood Eastwood,-8.12,NAB
25 Mar 24,EDITION ROASTERS MC Sydney,-5.0,NAB
25 Mar 24,ShopBack Canton Cafe Australia,-36.13,NAB
25 Mar 24,SQ *KAPPUCCINO Ultimo,-31.0,NAB
25 Mar 24,MCDONALDS DARLING SQ HAYMARKET,-30.3,NAB
25 Mar 24,RUMBLES FINE CAFE EASTWOOD,-18.8,NAB
25 Mar 24,SMP*Adanos Centrepoint Sydney,-16.26,NAB
25 Mar 24,Mumbai Express Glebe,-16.13,NAB
25 Mar 24,LOCALI BY ROMEOS SYDNEY,-14.47,NAB
25 Mar 24,ShopBack Tom Yum From HelAustralia,-91.96,NAB
25 Mar 24,EASTWOOD THAI MASSAGE EASTWOOD,-91.0,NAB
25 Mar 24,AMAZON AU SYDNEY SOUTH,-69.0,NAB
25 Mar 24,ACCPAC PTY LTD BARDWELL PARK,-55.0,NAB
25 Mar 24,Appliances Online Sydney,-457.0,NAB
